股票代码,股票简称,概念板块,行业板块,数据季度
600757,长江传媒,养老金;在线教育;央国企改革;小盘成长;小盘股;知识产权;红利破净股;红利股,传媒;出版;教育出版,2026Q2
600761,安徽合力,上证380;养老金;央国企改革;小盘价值;小盘股;工程机械概念;新能源车,工程机械;工程机械整机;机械设备,2026Q2
600873,梅花生物,上证380;中盘价值;中盘股;中证500;参股银行;合成生物;生物疫苗;病毒防治;红利股;维生素;西部大开发;调味品概念,化学制品;基础化工;食品及饲料添加剂,2026Q2
600971,恒源煤电,养老金;反内卷概念;央国企改革;破净股;稀缺资源;红利破净股;红利股;长期破净,焦煤;煤炭;煤炭开采,2026Q2
600985,淮北矿业,2025年报预减;上证380;中盘价值;中盘股;中证500;反内卷概念;央国企改革;民爆概念;煤化工概念;红利股,焦煤;煤炭;煤炭开采,2026Q2
600993,马应龙,QFII重仓;上证380;中药概念;养老金;参股新三板;婴童概念;小盘价值;小盘股,中药Ⅱ;中药Ⅲ;医药生物,2026Q2
600997,开滦股份,养老金;反内卷概念;央国企改革;氢能源;煤化工概念;稀缺资源;红利破净股;红利股;长期破净;雄安新区,焦炭Ⅱ;焦炭Ⅲ;煤炭,2026Q2
601000,唐山港,上证380;中证500;京津冀;央国企改革;小盘价值;小盘股;红利股;雄安新区,交通运输;港口;航运港口,2026Q2
601001,晋控煤业,上证380;中盘价值;中盘股;中证500;养老金;反内卷概念;央国企改革;稀缺资源,动力煤;煤炭;煤炭开采,2026Q2
601006,大秦铁路,中特估;大盘价值;央国企改革;破净股;红利破净股;红利股;铁路基建;长期破净,交通运输;铁路公路;铁路运输,2026Q2
601008,连云港,一带一路;中俄贸易概念;央国企改革;长江三角,交通运输;港口;航运港口,2026Q2
601009,南京银行,QFII重仓;互联网金融;大盘价值;破净股;红利破净股;红利股;银行Ⅱ;长期破净;长江三角,城商行Ⅲ;银行,2026Q2
601088,中国神华,AH股;中字头;中特估;反内卷概念;周期股;大盘价值;央国企改革;煤化工概念;稀缺资源;红利股;铁路基建,动力煤;煤炭;煤炭开采,2026Q2
601098,中南传媒,上证380;中证500;华为概念;在线教育;央国企改革;小盘价值;小盘股;影视概念;红利股,传媒;出版;教育出版,2026Q2
601101,昊华能源,2025年报预减;反内卷概念;央国企改革;小盘价值;小盘股;煤化工概念;稀缺资源,动力煤;煤炭;煤炭开采,2026Q2
601166,兴业银行,互联网金融;大盘价值;破净股;红利破净股;红利股;跨境支付;转债标的;银行Ⅱ;长期破净,股份制银行Ⅲ;银行,2026Q2
601168,西部矿业,上证380;中盘价值;中盘股;中证500;央国企改革;小金属概念;新材料;电池技术;稀缺资源;西部大开发;钒电池;锂矿概念;黄金概念,工业金属;有色金属;铜,2026Q2
601169,北京银行,互联网金融;参股保险;大盘价值;小米概念;破净股;红利破净股;红利股;银行Ⅱ;长期破净,城商行Ⅲ;银行,2026Q2
601216,君正集团,上证380;中盘价值;中盘股;中证500;互联网金融;内蒙古;参股券商;参股银行;彩票概念;煤化工概念;独角兽;生物疫苗;红利股;蚂蚁概念;西部大开发;阿里概念;降解塑料,化学原料;基础化工;氯碱,2026Q2
601225,陕西煤业,反内卷概念;周期股;大盘价值;央国企改革;红利股;西部大开发,动力煤;煤炭;煤炭开采,2026Q2
601288,农业银行,AH股;中特估;互联网金融;大盘价值;红利破净股;红利股;跨境支付;银行Ⅱ,国有大型银行Ⅲ;银行,2026Q2
601318,中国平安,AH股;IPO受益;互联医疗;互联网金融;养老概念;区块链;参股券商;参股银行;周期股;大盘价值;深圳特区;独角兽;红利破净股;红利股,保险Ⅱ;保险Ⅲ;非银金融,2026Q2
601328,交通银行,AH股;QFII重仓;中特估;互联网金融;大盘价值;破增发价股;红利破净股;红利股;跨境支付;银行Ⅱ;长期破净;长江三角,国有大型银行Ⅲ;银行,2026Q2
601336,新华保险,2025三季报预增;AH股;养老概念;周期股;蚂蚁概念,保险Ⅱ;保险Ⅲ;非银金融,2026Q2
601398,工商银行,AH股;一带一路;中特估;互联网金融;区块链;参股保险;参股银行;大盘价值;央国企改革;百日新高;红利破净股;红利股;跨境支付;近期新高;银行Ⅱ;长期破净,国有大型银行Ⅲ;银行,2026Q2
601601,中国太保,AH股;GDR;养老概念;周期股;破净股;蚂蚁概念;长江三角,保险Ⅱ;保险Ⅲ;非银金融,2026Q2
601666,平煤股份,2025年报预减;上证380;中证500;反内卷概念;央国企改革;小盘价值;小盘股;稀缺资源;红利股;转债标的,焦煤;煤炭;煤炭开采,2026Q2
601668,中国建筑,PPP模式;一带一路;中字头;中特估;大盘价值;央国企改革;工程建设;数字孪生;装配建筑;长期破净,建筑装饰;房屋建设Ⅱ;房屋建设Ⅲ,2026Q2
601699,潞安环能,2025年报预减;上证380;中盘价值;中盘股;中证500;养老金;反内卷概念;央国企改革;稀缺资源;红利股,焦煤;煤炭;煤炭开采,2026Q2
601717,中创智领,AH股;DeepSeek概念;上证380;中盘价值;中盘股;中证500;储能概念;华为汽车;新能源车,专用设备;机械设备;能源及重型设备,2026Q2
601818,光大银行,AH股;中特估;互联网金融;大盘价值;央国企改革;红利破净股;红利股;银行Ⅱ;长期破净,股份制银行Ⅲ;银行,2026Q2
